date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,24,11,0.0,8.7,5,72,02:39 PM,03:24 AM,07:14 AM,05:36 PM,1,16,16,16,10,14,37,0.0,1017,24,10,63,6,India
2015-01-02,18,11,0.0,5.5,3,80,03:27 PM,04:21 AM,07:14 AM,05:36 PM,6,13,14,13,15,60,62,1.7,1019,18,8,96,10,India
2015-01-03,19,13,0.0,8.7,5,87,04:16 PM,05:16 AM,07:15 AM,05:37 PM,12,15,15,15,8,38,82,0.0,1018,19,10,113,5,India
2015-01-04,23,13,0.0,8.7,5,94,05:08 PM,06:08 AM,07:15 AM,05:38 PM,8,16,17,16,18,1,60,0.0,1019,23,10,322,12,India
2015-01-05,21,10,0.0,8.7,5,100,06:01 PM,06:57 AM,07:15 AM,05:38 PM,4,14,15,14,23,0,48,0.0,1016,21,10,296,16,India
2015-01-06,24,12,0.0,8.7,5,100,06:54 PM,07:42 AM,07:15 AM,05:39 PM,9,16,17,16,15,0,63,0.0,1014,24,10,301,10,India
2015-01-07,24,13,0.0,8.7,5,84,07:47 PM,08:23 AM,07:15 AM,05:40 PM,7,17,17,17,11,0,54,0.0,1015,24,10,323,7,India
2015-01-08,24,12,0.0,8.7,5,77,08:38 PM,09:01 AM,07:15 AM,05:41 PM,5,15,16,15,10,1,53,0.0,1017,24,10,303,6,India
2015-01-09,22,11,0.0,8.7,5,69,09:30 PM,09:37 AM,07:15 AM,05:41 PM,2,15,16,15,11,1,44,0.0,1018,22,10,304,6,India
2015-01-10,22,10,0.0,8.7,5,62,10:20 PM,10:11 AM,07:15 AM,05:42 PM,1,14,15,14,16,0,40,0.0,1018,22,10,292,11,India
2015-01-11,24,11,0.0,8.7,5,55,11:12 PM,10:44 AM,07:15 AM,05:43 PM,4,15,16,15,15,0,48,0.0,1017,24,10,295,10,India
2015-01-12,25,11,0.0,8.7,5,48,No moonrise,11:18 AM,07:15 AM,05:44 PM,5,16,16,16,8,0,51,0.0,1018,25,10,166,5,India
2015-01-13,23,10,0.0,8.7,5,40,12:03 AM,11:53 AM,07:15 AM,05:45 PM,4,14,15,14,19,1,49,0.0,1016,23,10,141,11,India
2015-01-14,18,11,0.0,8.7,3,33,12:56 AM,12:30 PM,07:15 AM,05:45 PM,7,13,14,13,17,16,63,1.5,1017,18,10,89,11,India
2015-01-15,22,12,0.0,8.7,5,26,01:51 AM,01:12 PM,07:15 AM,05:46 PM,11,16,17,16,10,0,72,0.0,1019,22,10,312,8,India
2015-01-16,23,11,0.0,8.7,5,19,02:47 AM,01:57 PM,07:15 AM,05:47 PM,9,16,17,16,12,1,62,0.0,1019,23,10,284,9,India
2015-01-17,22,11,0.0,8.7,5,11,03:45 AM,02:47 PM,07:15 AM,05:48 PM,3,16,17,16,15,11,44,0.0,1019,22,10,292,10,India
2015-01-18,25,14,0.0,8.7,6,4,04:44 AM,03:44 PM,07:15 AM,05:49 PM,2,18,18,18,14,0,34,0.0,1018,25,10,288,9,India
2015-01-19,25,14,0.0,8.7,6,0,05:42 AM,04:45 PM,07:15 AM,05:50 PM,6,18,19,18,9,0,46,0.0,1018,25,10,254,6,India
2015-01-20,25,12,0.0,8.7,5,0,06:37 AM,05:50 PM,07:14 AM,05:50 PM,2,16,16,16,14,6,40,0.0,1019,25,10,160,8,India
2015-01-21,20,13,0.0,8.7,5,3,07:30 AM,06:57 PM,07:14 AM,05:51 PM,4,15,16,15,19,32,46,0.0,1020,20,10,108,12,India
2015-01-22,19,12,0.0,8.7,5,10,08:18 AM,08:04 PM,07:14 AM,05:52 PM,8,15,15,15,12,46,64,0.8,1020,19,10,162,8,India
2015-01-23,20,9,0.0,8.7,5,18,09:04 AM,09:10 PM,07:14 AM,05:53 PM,10,14,14,14,12,25,77,0.1,1019,20,9,231,8,India
2015-01-24,22,11,0.0,8.7,5,25,09:48 AM,10:15 PM,07:13 AM,05:54 PM,7,15,16,15,18,15,60,0.0,1019,22,10,297,11,India
2015-01-25,22,13,0.0,8.7,5,32,10:30 AM,11:18 PM,07:13 AM,05:54 PM,8,17,17,17,10,1,55,0.0,1019,22,10,316,8,India
2015-01-26,20,10,0.0,7.1,4,39,11:12 AM,No moonset,07:13 AM,05:55 PM,6,14,14,14,16,26,56,0.0,1019,20,10,176,10,India
2015-01-27,21,10,0.0,8.7,5,47,11:55 AM,12:19 AM,07:12 AM,05:56 PM,4,14,15,14,17,4,49,0.0,1019,21,10,307,12,India
2015-01-28,20,9,0.0,8.7,5,54,12:39 PM,01:19 AM,07:12 AM,05:57 PM,2,13,14,13,16,3,47,0.0,1018,20,10,291,11,India
2015-01-29,20,8,0.0,8.7,5,61,01:26 PM,02:16 AM,07:11 AM,05:58 PM,-2,14,15,14,18,2,32,0.0,1019,20,10,298,12,India
2015-01-30,21,11,0.0,8.7,5,69,02:14 PM,03:12 AM,07:11 AM,05:59 PM,1,14,15,14,20,0,39,0.0,1020,21,10,291,13,India
2015-01-31,21,10,0.0,8.7,5,72,03:04 PM,04:04 AM,07:10 AM,05:59 PM,-0,15,16,15,19,7,34,0.0,1017,21,10,277,11,India
2015-02-01,23,11,0.0,10.9,5,86,03:56 PM,04:53 AM,07:10 AM,06:00 PM,4,17,18,17,13,22,40,0.0,1017,23,10,134,7,India
2015-02-02,25,13,0.0,10.9,5,94,04:48 PM,05:39 AM,07:09 AM,06:01 PM,6,17,18,17,23,18,48,0.0,1017,25,10,105,13,India
2015-02-03,24,13,0.0,10.9,5,100,05:40 PM,06:21 AM,07:09 AM,06:02 PM,9,18,19,18,19,8,58,1.1,1019,24,10,186,12,India
2015-02-04,24,12,0.0,11.0,5,100,06:32 PM,07:00 AM,07:08 AM,06:03 PM,9,17,18,17,19,0,60,0.0,1022,24,10,306,14,India
2015-02-05,23,12,0.0,11.0,5,84,07:24 PM,07:37 AM,07:07 AM,06:03 PM,6,16,17,16,15,3,53,0.0,1019,23,10,296,10,India
2015-02-06,28,9,0.0,11.0,6,76,08:15 PM,08:12 AM,07:07 AM,06:04 PM,6,19,19,18,9,20,47,0.0,1018,28,10,285,5,India
2015-02-07,28,13,0.0,11.0,6,69,09:06 PM,08:46 AM,07:06 AM,06:05 PM,6,20,20,20,9,2,42,0.0,1017,28,10,108,5,India
2015-02-08,25,13,0.0,11.0,6,61,09:57 PM,09:19 AM,07:05 AM,06:06 PM,6,18,19,18,19,7,46,0.0,1017,25,10,253,11,India
2015-02-09,27,14,0.0,11.0,6,53,10:48 PM,09:54 AM,07:05 AM,06:06 PM,8,20,20,19,16,1,48,0.0,1019,27,10,321,11,India
2015-02-10,24,14,0.0,11.0,5,46,11:41 PM,10:29 AM,07:04 AM,06:07 PM,4,18,18,18,18,12,39,0.0,1019,24,10,296,11,India
2015-02-11,24,12,0.0,10.1,4,38,No moonrise,11:08 AM,07:03 AM,06:08 PM,1,16,17,16,16,56,36,0.0,1017,24,10,297,9,India
2015-02-12,27,14,0.0,11.1,6,31,12:35 AM,11:50 AM,07:02 AM,06:09 PM,2,19,19,19,17,0,32,0.0,1016,27,10,305,11,India
2015-02-13,27,14,0.0,11.1,6,23,01:31 AM,12:36 PM,07:02 AM,06:09 PM,1,19,19,20,17,1,29,0.0,1013,27,10,277,11,India
2015-02-14,32,16,0.0,11.1,7,16,02:27 AM,01:28 PM,07:01 AM,06:10 PM,6,24,24,24,10,1,34,0.0,1010,32,10,233,6,India
2015-02-15,31,17,0.0,11.1,7,8,03:24 AM,02:25 PM,07:00 AM,06:11 PM,5,23,23,23,9,2,33,0.0,1012,31,10,222,6,India
2015-02-16,28,17,0.0,10.1,5,1,04:19 AM,03:27 PM,06:59 AM,06:12 PM,8,22,22,22,22,14,44,0.0,1014,28,10,112,13,India
2015-02-17,29,17,0.0,11.5,6,0,05:13 AM,04:32 PM,06:58 AM,06:12 PM,13,22,22,22,13,3,58,0.0,1012,29,10,66,9,India
2015-02-18,29,16,0.0,11.6,7,0,06:04 AM,05:40 PM,06:57 AM,06:13 PM,12,23,23,22,10,6,51,0.0,1012,29,10,99,6,India
2015-02-19,30,19,0.0,11.6,7,0,06:52 AM,06:48 PM,06:57 AM,06:14 PM,12,24,24,24,18,7,48,0.0,1012,30,10,106,11,India
2015-02-20,31,18,0.0,11.6,6,7,07:38 AM,07:55 PM,06:56 AM,06:14 PM,14,24,24,23,19,7,60,14.6,1014,31,9,102,11,India
2015-02-21,30,19,0.0,11.6,7,14,08:22 AM,09:01 PM,06:55 AM,06:15 PM,12,23,23,24,21,4,49,0.0,1014,30,10,200,14,India
2015-02-22,31,17,0.0,11.6,7,22,09:07 AM,10:06 PM,06:54 AM,06:16 PM,9,23,23,23,25,30,42,0.0,1013,31,10,291,15,India
2015-02-23,30,18,0.0,11.6,7,29,09:51 AM,11:09 PM,06:53 AM,06:17 PM,12,23,23,23,9,39,51,0.0,1014,30,10,268,5,India
2015-02-24,30,17,0.0,8.7,6,37,10:36 AM,No moonset,06:52 AM,06:17 PM,11,24,24,24,15,63,47,0.0,1011,30,10,143,9,India
2015-02-25,29,18,0.0,11.6,5,44,11:23 AM,12:09 AM,06:51 AM,06:18 PM,7,24,24,23,19,29,37,0.9,1009,29,10,199,10,India
2015-02-26,30,17,0.0,11.6,6,52,12:11 PM,01:07 AM,06:50 AM,06:19 PM,-3,21,21,22,16,1,20,0.0,1010,30,10,319,10,India
2015-02-27,29,15,0.0,11.6,6,60,01:01 PM,02:00 AM,06:49 AM,06:19 PM,-3,20,20,21,16,4,22,0.0,1013,29,10,333,10,India
2015-02-28,29,14,0.0,10.2,5,67,01:52 PM,02:51 AM,06:48 AM,06:20 PM,2,20,20,20,18,30,30,0.0,1013,29,10,114,10,India
2015-03-01,18,16,0.0,5.9,4,72,02:44 PM,03:38 AM,06:47 AM,06:21 PM,13,17,17,17,46,84,82,32.0,1011,18,8,115,30,India
2015-03-02,23,15,0.0,11.6,4,79,03:36 PM,04:20 AM,06:46 AM,06:21 PM,14,18,18,18,17,34,82,12.0,1013,23,9,124,12,India
2015-03-03,24,14,0.0,11.6,6,86,04:27 PM,05:00 AM,06:45 AM,06:22 PM,10,18,19,18,13,7,63,0.0,1014,24,9,212,8,India
2015-03-04,24,13,0.0,11.6,6,94,05:19 PM,05:38 AM,06:44 AM,06:22 PM,7,18,19,18,18,5,48,0.0,1013,24,10,299,12,India
2015-03-05,28,14,0.0,11.6,6,100,06:10 PM,06:13 AM,06:43 AM,06:23 PM,9,21,21,21,12,6,48,0.0,1015,28,10,161,7,India
2015-03-06,28,15,0.0,11.6,6,100,07:01 PM,06:47 AM,06:41 AM,06:24 PM,7,21,21,21,15,5,42,0.0,1016,28,10,240,9,India
2015-03-07,28,15,0.0,10.2,5,84,07:52 PM,07:21 AM,06:40 AM,06:24 PM,9,21,21,21,17,20,49,0.1,1014,28,10,136,10,India
2015-03-08,27,16,0.0,11.6,5,77,08:44 PM,07:55 AM,06:39 AM,06:25 PM,12,21,21,21,14,18,60,1.8,1015,27,10,110,10,India
2015-03-09,27,13,0.0,11.6,6,70,09:36 PM,08:30 AM,06:38 AM,06:26 PM,6,18,18,18,21,5,50,0.2,1020,27,10,320,15,India
2015-03-10,18,12,0.0,11.6,5,63,10:29 PM,09:08 AM,06:37 AM,06:26 PM,5,16,16,16,21,16,50,0.1,1017,18,10,296,13,India
2015-03-11,30,14,0.0,8.8,5,55,11:24 PM,09:48 AM,06:36 AM,06:27 PM,9,24,24,24,16,44,41,0.7,1012,30,10,227,10,India
2015-03-12,30,13,0.0,8.8,5,48,No moonrise,10:31 AM,06:35 AM,06:27 PM,9,24,24,24,15,44,42,0.4,1012,30,10,234,10,India
2015-03-13,30,14,0.0,11.6,5,41,12:18 AM,11:20 AM,06:34 AM,06:28 PM,10,25,25,25,14,24,43,0.2,1012,30,10,216,9,India
2015-03-14,30,15,0.0,10.2,5,34,01:13 AM,12:13 PM,06:33 AM,06:29 PM,10,25,25,25,13,23,42,0.1,1012,30,10,219,8,India
2015-03-15,31,15,0.0,11.6,7,26,02:07 AM,01:10 PM,06:31 AM,06:29 PM,9,26,26,26,13,3,38,0.0,1012,31,10,258,9,India
2015-03-16,32,15,0.0,10.2,6,19,03:00 AM,02:12 PM,06:30 AM,06:30 PM,9,26,26,26,13,15,38,0.0,1011,32,10,265,9,India
2015-03-17,33,16,0.0,11.6,7,12,03:50 AM,03:17 PM,06:29 AM,06:30 PM,9,27,27,27,13,8,36,0.0,1010,33,10,218,9,India
2015-03-18,34,17,0.0,11.6,6,4,04:38 AM,04:23 PM,06:28 AM,06:31 PM,9,28,28,28,14,25,34,0.1,1009,34,10,199,9,India
2015-03-19,26,21,0.0,11.6,6,0,05:25 AM,05:30 PM,06:27 AM,06:31 PM,7,24,24,24,18,11,34,0.0,1012,26,10,222,10,India
2015-03-20,33,17,0.0,11.6,7,0,06:10 AM,06:37 PM,06:26 AM,06:32 PM,7,25,25,25,14,11,32,0.0,1014,33,10,304,9,India
2015-03-21,33,20,0.0,11.6,7,3,06:55 AM,07:45 PM,06:24 AM,06:33 PM,10,27,27,27,16,3,36,0.0,1014,33,10,317,10,India
2015-03-22,33,21,0.0,11.6,7,10,07:40 AM,08:50 PM,06:23 AM,06:33 PM,11,27,27,27,20,10,40,0.0,1012,33,10,292,14,India
2015-03-23,35,23,0.0,11.6,8,17,08:26 AM,09:54 PM,06:22 AM,06:34 PM,10,29,29,29,17,1,33,0.0,1009,35,10,294,12,India
2015-03-24,39,25,0.0,11.6,8,24,09:15 AM,10:55 PM,06:21 AM,06:34 PM,9,31,31,32,10,0,26,0.0,1009,39,10,294,6,India
2015-03-25,37,25,0.0,11.6,8,32,10:04 AM,11:52 PM,06:20 AM,06:35 PM,9,30,30,31,13,16,27,0.0,1011,37,10,196,7,India
2015-03-26,38,24,0.0,11.6,8,39,10:55 AM,No moonset,06:19 AM,06:35 PM,9,30,30,31,15,25,27,0.0,1012,38,10,191,9,India
2015-03-27,39,26,0.0,11.6,9,46,11:47 AM,12:45 AM,06:18 AM,06:36 PM,6,31,31,33,18,4,20,0.0,1011,39,10,315,12,India
2015-03-28,40,26,0.0,11.6,9,54,12:39 PM,01:34 AM,06:16 AM,06:36 PM,2,31,31,32,7,3,16,0.0,1009,40,10,213,6,India
2015-03-29,32,25,0.0,10.2,6,61,01:31 PM,02:18 AM,06:15 AM,06:37 PM,6,27,27,28,24,26,27,4.5,1007,32,10,120,15,India
2015-03-30,30,22,0.0,11.6,6,68,02:23 PM,03:00 AM,06:14 AM,06:38 PM,16,27,27,25,22,19,59,6.0,1009,30,10,105,17,India
2015-03-31,32,21,0.0,11.6,7,72,03:15 PM,03:38 AM,06:13 AM,06:38 PM,14,27,27,26,9,9,51,0.0,1010,32,10,115,8,India
2015-04-01,34,23,0.0,11.6,7,86,04:06 PM,04:13 AM,06:12 AM,06:39 PM,13,28,28,28,16,18,41,1.8,1008,34,10,193,12,India
2015-04-02,36,23,0.0,11.6,7,93,04:57 PM,04:48 AM,06:11 AM,06:39 PM,13,29,29,29,17,13,39,0.4,1004,36,10,115,12,India
2015-04-03,32,25,0.0,11.6,6,100,05:48 PM,05:22 AM,06:10 AM,06:40 PM,15,28,28,28,14,21,45,3.9,1004,32,10,154,10,India
2015-04-04,26,19,0.0,10.2,5,100,06:39 PM,05:56 AM,06:08 AM,06:40 PM,16,25,25,23,10,42,64,40.8,1005,26,9,166,7,India
2015-04-05,32,21,0.0,11.6,7,84,07:32 PM,06:31 AM,06:07 AM,06:41 PM,12,27,27,27,8,4,42,0.0,1007,32,10,155,6,India
2015-04-06,33,24,0.0,11.6,8,77,08:25 PM,07:08 AM,06:06 AM,06:42 PM,10,28,28,29,11,3,31,0.0,1007,33,10,305,9,India
2015-04-07,33,26,0.0,11.6,7,69,09:19 PM,07:48 AM,06:05 AM,06:42 PM,10,28,28,29,8,3,31,0.0,1009,33,10,194,6,India
2015-04-08,32,23,0.0,11.6,7,61,10:14 PM,08:30 AM,06:04 AM,06:43 PM,9,27,27,28,12,4,32,0.0,1011,32,10,250,10,India
2015-04-09,35,25,0.0,11.6,8,54,11:08 PM,09:17 AM,06:03 AM,06:43 PM,11,30,30,30,14,0,32,0.0,1009,35,10,302,11,India
2015-04-10,35,26,0.0,11.6,8,46,No moonrise,10:08 AM,06:02 AM,06:44 PM,6,29,29,30,14,6,24,0.0,1008,35,10,302,11,India
2015-04-11,39,26,0.0,11.6,9,39,12:02 AM,11:03 AM,06:01 AM,06:44 PM,6,32,32,33,7,5,19,0.0,1007,39,10,106,5,India
2015-04-12,33,26,0.0,12.5,7,31,12:53 AM,12:01 PM,06:00 AM,06:45 PM,7,28,28,29,12,26,26,0.1,1010,33,10,56,9,India
2015-04-13,37,23,0.0,11.9,7,24,01:43 AM,01:02 PM,05:59 AM,06:45 PM,7,32,32,32,13,34,26,0.4,1008,37,10,220,10,India
